Shipment_ID,Supplier_Name,Product_Category,Import_Cost,Quantity,Shipping_Days,Expected_Days,Delay_Days,Damage_Rate,Return_Rate,Region,Month,Weather_Risk,Port_Congestion_Score,Payment_Delay,Risk_Label
SHP0001,Mumbai Port Co,Electronics,149602.35,2056,10,7,3,3.59,4.3,Amravati,2,Low,2.3,11,Low
SHP0002,Nashik Distributors,Pharmaceuticals,11197.62,817,20,20,0,1.3,5.16,Mumbai,10,Low,3.1,8,Low
SHP0003,Guangzhou Exports,Electronics,131727.47,4514,35,29,6,16.63,9.07,Aurangabad,10,Medium,3.0,3,Medium
SHP0004,Delhi Import Hub,Electronics,87409.81,2326,32,29,3,0.26,1.55,Pune,6,Low,2.9,2,Low
SHP0005,Kolkata Goods Ltd,Pharmaceuticals,75000.98,2867,12,10,2,9.94,5.18,Thane,1,High,3.4,0,Medium
SHP0006,Mumbai Port Co,Textiles,20366.04,2451,25,19,6,3.32,3.14,Nanded,6,High,6.6,0,Medium
SHP0007,Mumbai Port Co,Machinery,133946.35,2420,8,8,0,4.33,0.7,Kolhapur,2,Low,8.7,6,Low
SHP0008,Nagpur Freight,Food & Agri,167651.53,1382,29,27,2,6.12,3.8,Aurangabad,11,Medium,4.2,12,Low
SHP0009,Mumbai Port Co,Machinery,128820.77,4425,27,26,1,0.83,4.65,Kolhapur,8,High,3.2,0,Low
SHP0010,Aurangabad Traders,Machinery,138499.78,508,17,14,3,0.0,1.34,Kolhapur,6,Low,8.4,5,Low
SHP0011,Mumbai Port Co,Chemicals,183061.54,4696,17,13,4,4.51,2.77,Thane,11,High,3.8,3,Medium
SHP0012,Nagpur Freight,Chemicals,56651.63,2070,11,11,0,4.84,4.08,Nanded,5,High,6.1,9,Low
SHP0013,Nashik Distributors,Textiles,75589.31,1183,21,19,2,0.0,2.65,Pune,1,High,5.4,3,Low
SHP0014,Delhi Import Hub,Machinery,87321.19,570,28,28,0,7.84,7.06,Amravati,8,Medium,4.4,8,Low
SHP0015,Aurangabad Traders,Electronics,137655.27,988,7,7,0,4.07,4.66,Solapur,5,High,9.0,8,Medium
SHP0016,Chennai Logistics,Textiles,35840.76,76,20,20,0,2.44,0.0,Amravati,5,High,8.9,0,Medium
SHP0017,Aurangabad Traders,Machinery,174751.12,2494,15,10,5,9.07,3.86,Nagpur,4,High,5.6,9,Medium
SHP0018,Delhi Import Hub,Electronics,190932.45,4394,28,24,4,4.06,5.72,Mumbai,8,Low,6.4,11,Medium
SHP0019,Pune Supply Chain,Electronics,51693.2,2023,17,16,1,9.69,0.0,Thane,2,High,9.5,8,Medium
SHP0020,Aurangabad Traders,Chemicals,30036.34,3943,14,11,3,4.1,4.18,Nanded,9,High,2.5,0,Low
SHP0021,Guangzhou Exports,Chemicals,152276.71,1697,31,24,7,16.07,12.96,Solapur,11,High,3.8,2,High
SHP0022,Aurangabad Traders,Textiles,28595.82,1890,21,21,0,3.49,5.83,Amravati,10,Low,4.0,6,Low
SHP0023,Nashik Distributors,Electronics,6402.21,532,14,14,0,3.54,2.19,Solapur,1,Low,1.6,8,Low
SHP0024,Aurangabad Traders,Pharmaceuticals,59303.07,4026,14,14,0,4.02,3.22,Nanded,12,Low,5.9,0,Low
SHP0025,Nagpur Freight,Machinery,158000.79,3384,18,14,4,7.78,5.01,Kolhapur,11,Low,1.8,4,Medium
SHP0026,Kolkata Goods Ltd,Electronics,96069.81,493,21,20,1,7.74,6.31,Pune,11,High,6.9,1,Medium
SHP0027,Kolkata Goods Ltd,Textiles,71164.01,945,35,30,5,10.21,10.77,Thane,9,Low,2.7,5,Medium
SHP0028,Kolkata Goods Ltd,Electronics,59316.3,2096,18,12,6,8.78,3.16,Pune,9,Low,5.0,4,Medium
SHP0029,Aurangabad Traders,Chemicals,193954.27,1986,10,7,3,12.39,3.62,Nashik,8,Low,4.7,6,Low
SHP0030,Shenzhen Traders,Chemicals,78899.76,3248,16,12,4,8.49,10.29,Aurangabad,8,Medium,9.3,8,High
SHP0031,Aurangabad Traders,Food & Agri,145089.61,1318,33,28,5,2.27,6.81,Nanded,1,Low,3.7,0,Medium
SHP0032,Aurangabad Traders,Textiles,150855.23,518,12,8,4,11.57,2.02,Amravati,9,Low,6.3,2,Medium
SHP0033,Shenzhen Traders,Chemicals,20621.74,1572,28,23,5,10.49,4.9,Nashik,11,Low,6.4,5,Medium
SHP0034,Mumbai Port Co,Pharmaceuticals,53011.99,4920,25,25,0,5.42,1.16,Nanded,7,Low,6.6,11,Low
SHP0035,Aurangabad Traders,Chemicals,187267.72,1723,17,17,0,4.03,5.63,Aurangabad,4,High,7.4,0,Medium
SHP0036,Delhi Import Hub,Chemicals,130872.65,3795,31,28,3,9.92,1.79,Mumbai,2,Medium,9.4,5,Medium
SHP0037,Nashik Distributors,Machinery,199238.81,650,26,25,1,4.35,0.0,Nagpur,5,High,2.9,0,Low
SHP0038,Mumbai Port Co,Pharmaceuticals,77057.78,1342,17,14,3,4.89,3.5,Aurangabad,12,Medium,8.5,6,Low
SHP0039,Aurangabad Traders,Machinery,135233.32,4593,7,7,0,5.7,4.59,Nagpur,2,Medium,9.4,2,Low
SHP0040,Mumbai Port Co,Textiles,149771.25,1323,17,10,7,5.42,0.62,Solapur,4,Medium,3.5,7,Low
SHP0041,Chennai Logistics,Electronics,100263.71,466,23,23,0,5.36,4.32,Mumbai,5,Low,6.7,1,Low
SHP0042,Pune Supply Chain,Pharmaceuticals,129237.11,2195,15,11,4,6.24,5.64,Kolhapur,9,Low,7.7,12,Medium
SHP0043,Shenzhen Traders,Pharmaceuticals,19672.55,1271,14,10,4,9.74,6.22,Nanded,6,High,1.3,1,Medium
SHP0044,Delhi Import Hub,Textiles,29851.88,2575,22,20,2,7.02,5.55,Solapur,1,Medium,9.1,8,Medium
SHP0045,Guangzhou Exports,Textiles,25044.76,4636,36,28,8,19.36,9.47,Nagpur,12,Medium,9.8,15,High
SHP0046,Delhi Import Hub,Food & Agri,176876.16,253,16,12,4,3.43,2.86,Kolhapur,6,Low,7.6,6,Medium
